"","project","language","article","access","agent","granularity","date","views"
"282","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-08,15473
"283","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-09,17417
"284","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-10,16191
"285","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-11,15827
"286","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-12,15292
"287","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-13,15309
"288","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-14,15318
"289","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-15,15182
"290","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-16,14661
"291","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-17,14284
"292","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-18,16255
"293","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-19,14971
"294","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-20,15206
"295","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-21,16560
"296","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-22,18082
"297","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-23,17165
"298","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-24,15720
"299","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-25,16850
"300","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-26,16529
"301","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-27,15609
"302","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-28,16905
"303","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-29,17288
"304","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-30,16475
"305","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-31,16070
"306","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-01,15925
"307","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-02,16534
"308","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-03,15353
"309","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-04,15224
"310","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-05,14316
"311","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-06,15600
"312","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-07,13319
"313","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-08,14163
"314","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-09,22775
"315","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-10,30547
"316","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-11,25726
"317","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-12,19986
"318","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-13,19783
"319","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-14,17948
"320","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-15,33507
"321","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-16,24467
"322","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-17,17458
"323","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-18,17263
"324","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-19,16051
"325","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-20,14292
"326","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-21,14951
"327","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-22,15060
"328","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-23,14077
"329","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-24,16486
"330","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-25,14749
"331","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-26,25869
"332","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-27,21432
"333","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-28,15314
"334","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-29,15119
"335","wikipedia","en","Facebook","mobile-web","user","daily",2016-09-30,16918
"336","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-01,19645
"337","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-02,14932
"338","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-03,16857
"339","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-04,21510
"340","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-05,17293
"341","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-06,18457
"342","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-07,22352
"343","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-08,15600
"344","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-09,18581
